Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Western Asia and Northern Africa	Lower	168122	160907	153787	146932	140185	133528	127067	120727	114400	108354	102503	96917	91714	86901	82459	78458	74859	71583	68642	66059	63905	62438	61693	60614	59235	57992	55662	53299	51408	48853
Western Asia and Northern Africa	Median	173549	166286	159059	152090	145214	138510	131954	125527	119236	113072	107097	101448	96187	91364	87026	83082	79513	76331	73492	71056	69106	68003	67719	67080	66205	65796	64171	62603	61742	59852
Western Asia and Northern Africa	Upper	179842	172435	165245	158168	151144	144299	137662	131223	124758	118487	112348	106534	101192	96432	92146	88241	84728	81674	78992	76842	75300	74670	74996	75272	75274	76242	75996	76075	77409	77683
Western Asia	Lower	67320	64281	61308	58728	56235	53781	51216	48588	45776	42939	40118	37433	34893	32542	30381	28439	26704	25111	23676	22446	21465	20892	21296	21141	20690	20420	19371	18350	17796	16666
Western Asia	Median	70652	67447	64332	61556	58976	56444	53866	51194	48334	45415	42476	39642	37039	34656	32510	30514	28730	27093	25652	24433	23551	23175	23925	24129	24123	24630	24015	23547	23826	23158
Western Asia	Upper	74450	71041	67778	64903	62119	59493	56856	54198	51279	48221	45159	42223	39506	37071	34897	32911	31143	29506	28078	26958	26229	26113	27320	28151	28965	30830	31349	32188	34509	35559
Northern Africa	Lower	98464	94452	90365	86137	81903	77753	73802	70122	66757	63548	60584	57778	55196	52753	50481	48403	46541	44867	43389	42011	40721	39711	38360	37144	35960	34592	33064	31316	29549	27835
Northern Africa	Median	102897	98839	94727	90534	86238	82066	78088	74333	70902	67657	64621	61806	59148	56708	54516	52568	50783	49238	47840	46623	45555	44828	43794	42951	42082	41166	40156	39056	37916	36694
Northern Africa	Upper	107941	103830	99755	95613	91175	86816	82812	78982	75469	72097	68965	66060	63447	61024	58916	57035	55327	53936	52728	51738	51015	50676	50166	49850	49738	49527	49411	49315	49290	49472
Sub-Saharan Africa	Lower	1427749	1444024	1460225	1478241	1517104	1514192	1501662	1505475	1502329	1478975	1454293	1424339	1389639	1352143	1313706	1275681	1237446	1197366	1154854	1109639	1066812	1027776	989595	953597	922659	895751	862605	835591	805734	777180
Sub-Saharan Africa	Median	1461460	1477984	1494378	1512103	1551555	1548526	1535611	1539490	1536809	1513671	1489060	1459683	1424889	1387551	1349077	1311357	1273862	1234669	1194041	1150970	1111044	1075036	1041755	1009821	984291	960303	931900	908598	883975	859837
Sub-Saharan Africa	Upper	1499073	1515464	1532085	1549618	1590122	1587610	1576095	1580203	1577131	1554211	1530070	1500284	1465731	1429252	1391289	1353880	1317195	1280635	1243225	1204214	1169539	1139702	1112442	1090474	1074329	1063166	1048943	1040666	1034233	1030027
Oceania	Lower	3919	3839	3764	3699	3649	3604	3569	3558	3505	3462	3421	3372	3321	3260	3197	3133	3065	2990	2906	2842	2723	2621	2517	2416	2307	2197	2085	1971	1854	1746
